Carrier,Type,Slugs - requires no connection,Slugs - requires connection
17 Post Service,global,17postservice,
2ebox,global,2ebox,
2GO,global,2go,
360 Lion Express,global,360lion,
3JMS Logistics,global,3jmslogistics,
4-72 Entregando,global,4-72,
4PX,global,4px,
绿色国际速递,global,6ls,
Best Express,global,800bestex,
A1Post,global,a1post,
A2B Express Logistics,global,a2b-ba,
AAA Cooper,global,aaa-cooper,
ABF Freight,global,abf,
KEX Express,global,abxexpress-my,
aCommerce,global,acommerce,
ACS Courier,global,acscourier,
ACS Worldwide Express,global,acsworldwide,
Adicional Logistics,global,adicional,
ADSOne,global,adsone,
A Duie Pyle,global,aduiepyle,
Mexico AeroFlash,global,aeroflash,
Aeronet,global,aeronet,
AEX Group,global,aex,
Agility,global,agility,
AIR21,global,air21,
Airpak Express,global,airpak-express,
Airspeed International Corporation,global,airspeed,
"ALLJOY SUPPLY CHAIN CO., LTD",global,alljoy,
alphaFAST,global,alphafast,
Always Express,global,always-express,
Amazon Shipping + Amazon MCF,global,amazon,
Amazon,global,amazon-email-push,
Swiship UK,global,amazon-fba-swiship,
Swiship DE,global,amazon-fba-swiship-de,
Swiship IN,global,amazon-fba-swiship-in,
Amazon order,global,amazon-order,
Amazon Shipping,global,amazon-uk-api,
AMS Group,global,amsegroup,
An Post,global,an-post,
Anicam Global,global,anicamboxexpress,
Anjun,global,anjun,
ANSERX,global,anserx,
Anteraja,global,anteraja,
AO Deutschland Ltd.,global,ao-deutschland,
APC Postal Logistics,global,apc,
APC Overnight,global,apc-overnight,
APC Overnight Consignment Number,global,apc-overnight-connum,
APG eCommerce Solutions Ltd.,global,apg,
Aquiline,global,aquiline,
Arco Spedizioni SP,global,arco-spedizioni,
ARK Logistics,global,ark-logistics,
Arrow XL,global,arrowxl,
ASE KARGO,global,ase,
Asendia,global,asendia-de,
Asendia APAC,global,asendia-hk,
Asendia UK,global,asendia-uk,
Asendia USA,global,asendia-usa,
ASIGNA,global,asigna,
ASM(GLS Spain),global,asm,
Au Express,global,auexpress,
Austrian Post (Express),global,austrian-post,
Austrian Post (Registered),global,austrian-post-registered,
Averitt Express,global,averitt,
B2C Europe,global,b2ceurope,
BDMnet,global,bdmnet,
北俄国际,global,be,
Belpost,global,belpost,
Bert Transport,global,bert-fr,
Best Way Parcel,global,bestwayparcel,
Better Trucks,global,bettertrucks,
Bulgarian Posts,global,bgpost,
JP BH Pošta,global,bh-posta,
BirdSystem,global,birdsystem,
Blink,global,blinklastmile,
Bluecare Express Ltd,global,bluecare,
Blue Star,global,bluestar,
Blue Express,global,bluex,
Bneed,global,bneed,
Bombino Express Pvt Ltd,global,bombinoexp,
Bond,global,bond,
Bonds Couriers,global,bondscouriers,
Border Express,global,borderexpress,
Boxberry,global,box-berry,
BoxC,global,boxc,
Bpost international,global,bpost-international,
Brazil Correios,global,brazil-correios,
Bring,global,bring,
Brouwer Transport en Logistiek B.V.,global,brouwer-transport,
BRT Bartolini(Parcel ID),global,brt-it-parcelid,
BRT Bartolini(Sender Reference),global,brt-it-sender-ref,
CAE Delivers,global,cae-delivers,
Cainiao,global,cainiao,
Cambodia Post,global,cambodia-post,
Canada Post,global,canada-post,
Canpar Courier,global,canpar,
Capital Transport,global,capital,
Carriers,global,carriers,
"Carry-Flap Co.,Ltd.",global,carry-flap,
CDEK,global,cdek,
CDEK TR,global,cdek-tr,
Cello Square,global,cello-square,
Česká Pošta,global,ceska-posta,
CFL Logistics,global,cfl-logistics,
